Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,
1,extend,10000,true,zipfian,EXTEND,49.1,13377.7,0,0,0,0,1,278362,1796.2221854994575,500000,554.301974,109,1267711,844,2673,500000

1,run,10000,true,uniform,READ,49.1,13377.5,0.5,0.5,0,0,0,9768,10237.510237510238,50052,86.92777511388157,50,8335,153,332,50052
1,run,10000,true,uniform,UPDATE,49.1,13377.5,0.5,0.5,0,0,0,9768,10237.510237510238,49948,98.90293905661888,55,37695,181,352,49948
1,reference,10000,true,uniform,READ,49.1,13389.9,0.5,0.5,0,0,0,9387,10653.030787258975,50051,83.11722043515614,51,13135,142,294,50051
1,reference,10000,true,uniform,UPDATE,49.1,13389.9,0.5,0.5,0,0,0,9387,10653.030787258975,49949,95.26124647140082,56,36543,167,322,49949
1,clean-run,10000,true,uniform,READ,49.1,13672.5,0.5,0.5,0,0,0,10241,9764.671418806756,50075,91.10604093859212,51,12103,152,327,50075
1,clean-run,10000,true,uniform,UPDATE,49.1,13672.5,0.5,0.5,0,0,0,10241,9764.671418806756,49925,104.13071607411116,56,33631,184,344,49925
1,avg-run,10000,true,uniform,READ,49.2,13713,0.5,0.5,0,0,0,9511,10514.141520344863,49884,86.70677972897121,51,8903,152,328,49884
1,avg-run,10000,true,uniform,UPDATE,49.2,13713,0.5,0.5,0,0,0,9511,10514.141520344863,50116,93.68213744113656,53,30767,174,324,50116
2,extend,10000,true,zipfian,EXTEND,48.9,13643.8,0,0,0,0,1,636246,785.859557466766,500000,1269.663502,113,1027071,3225,19471,500000

2,run,10000,true,uniform,READ,48.9,13662.1,0.5,0.5,0,0,0,11218,8914.244963451596,49964,95.46249299495636,53,47647,175,348,49964
2,run,10000,true,uniform,UPDATE,48.9,13662.1,0.5,0.5,0,0,0,11218,8914.244963451596,50036,112.958369973619,61,6411,217,372,50036
2,reference,10000,true,uniform,READ,48.9,13666,0.5,0.5,0,0,0,10623,9413.536665725313,50205,93.46459515984463,53,38719,157,390,50205
2,reference,10000,true,uniform,UPDATE,48.9,13666,0.5,0.5,0,0,0,10623,9413.536665725313,49795,109.45667235666231,59,7363,193,432,49795
2,clean-run,10000,true,uniform,READ,48.9,13686.9,0.5,0.5,0,0,0,11765,8499.787505312368,49972,102.63673657248059,54,37695,176,381,49972
2,clean-run,10000,true,uniform,UPDATE,48.9,13686.9,0.5,0.5,0,0,0,11765,8499.787505312368,50028,122.5657831614296,61,70079,221,398,50028
2,avg-run,10000,true,uniform,READ,49,13697.1,0.5,0.5,0,0,0,10378,9635.767970707266,49959,94.77281370723993,53,8775,175,333,49959
2,avg-run,10000,true,uniform,UPDATE,49,13697.1,0.5,0.5,0,0,0,10378,9635.767970707266,50041,103.27541416038848,54,30639,202,336,50041
3,extend,10000,true,zipfian,EXTEND,48.6,13770.9,0,0,0,0,1,907272,551.1026461744659,500000,1811.424908,124,711679,8271,30159,500000

3,run,10000,true,uniform,READ,48.6,13806.3,0.5,0.5,0,0,0,12871,7769.40408670655,49907,107.90702707035085,58,16383,198,398,49907
3,run,10000,true,uniform,UPDATE,48.6,13806.3,0.5,0.5,0,0,0,12871,7769.40408670655,50093,132.0470325195137,64,43391,247,430,50093
3,reference,10000,true,uniform,READ,48.6,13809.2,0.5,0.5,0,0,0,12003,8331.250520703157,49977,104.61696380334953,56,36799,175,631,49977
3,reference,10000,true,uniform,UPDATE,48.6,13809.2,0.5,0.5,0,0,0,12003,8331.250520703157,50023,124.73706095196209,62,6347,222,576,50023
3,clean-run,10000,true,uniform,READ,48.6,13822.1,0.5,0.5,0,0,0,15016,6659.563132658498,49848,115.17174209597175,58,42719,205,392,49848
3,clean-run,10000,true,uniform,UPDATE,48.6,13822.1,0.5,0.5,0,0,0,15016,6659.563132658498,50152,173.0993380124422,64,150783,259,448,50152
3,avg-run,10000,true,uniform,READ,48.7,13828.7,0.5,0.5,0,0,0,11162,8958.967926894822,50322,101.27278327570447,56,30671,191,360,50322
3,avg-run,10000,true,uniform,UPDATE,48.7,13828.7,0.5,0.5,0,0,0,11162,8958.967926894822,49678,112.18229397318733,55,29247,219,378,49678
